"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Brazil","BRA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3083917183528","12.9119007144122","11.1145178284973","12.5601291458486","13.7802303154187","17.3596646210981","15.2406436434766","13.8017155393292","8.58278482980368","8.32824664624968","9.78490637098198","7.05972156474454","6.35772829360908","4.82738294568896","3.54941423612453","3.95141252752549","3.14394274500717","5.2192590619221","5.12877211317562","4.15543161082998","3.86130878850313","3.72380182017546","3.43952583655026","",
"Barbados","BRB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6583412537138","13.4007477715824","14.2132090505245","8.10437308223831","5.55101633495706","3.71797196343553","3.74940788258814","1.57218365008307","0.644586161969416","2.04733468789283","0.835119454644011","0.367518906384978","0.153659628930735","0.0278098621187036","0.0348685273002217","0.0618157091898142","0.0270356492070444","0.019659392095852","0.0106392222019289","0.00352162896469391","0.0384848177394018","0.0156429513730166","0","",
"Botswana","BWA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7220399735885","6.59005379565868","3.07780209808131","1.53735263253061","0.987395094342072","1.16822709187158","3.75461800026902","0.990747400821738","1.8462398548857","2.00155471995901","1.60737735004121","0.482039096056538","0.210779864698741","0.493193923850858","1.38464043390294","0.297719923417275","0.630929389768172","1.83939546751354","0.495928281140881","0.155679401804916","1.04489184717805","0.61768970066524","0.310809578669517","",
"Central African Republic","CAF","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","424.437841331996","425.442022194808","433.175903820439","438.453616619082","442.385893255585","444.161494608721","444.529465679572","437.358661239258","427.613245156454","418.691697301371","406.705096729296","394.234853515051","384.788446414288","377.014293603152","367.209143078154","351.02409399807","335.114128221718","333.028668085858","329.563396260486","324.177762796094","311.988912637422","310.880176736812","310.589581484185","",
"Canada","CAN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
